,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,日付
0,総数,1963,2356,-393,16422,13934,-517,1971,1578,2015-11-01
1,北区,107,65,42,1173,897,-164,112,154,2015-11-01
2,都島区,62,93,-31,500,472,-2,26,-5,2015-11-01
3,福島区,81,46,35,472,436,-6,30,65,2015-11-01
4,此花区,46,54,-8,246,254,-1,-9,-17,2015-11-01
5,中央区,97,50,47,1263,961,-63,239,286,2015-11-01
6,西区,107,53,54,1011,753,-13,245,299,2015-11-01
7,港区,58,74,-16,362,339,-10,13,-3,2015-11-01
8,大正区,39,72,-33,228,208,-2,18,-15,2015-11-01
9,天王寺区,72,43,29,558,457,-1,100,129,2015-11-01
10,浪速区,60,62,-2,1164,754,-32,378,376,2015-11-01
11,西淀川区,66,71,-5,395,407,-1,-13,-18,2015-11-01
12,淀川区,138,121,17,1133,987,-21,125,142,2015-11-01
13,東淀川区,123,135,-12,922,898,2,26,14,2015-11-01
14,東成区,56,71,-15,466,427,-25,14,-1,2015-11-01
15,生野区,74,161,-87,798,613,-45,140,53,2015-11-01
16,旭区,57,78,-21,427,399,-55,-27,-48,2015-11-01
17,城東区,112,147,-35,846,708,-6,132,97,2015-11-01
18,鶴見区,77,73,4,385,449,-2,-66,-62,2015-11-01
19,阿倍野区,72,103,-31,711,425,-5,281,250,2015-11-01
20,住之江区,75,109,-34,409,450,-31,-72,-106,2015-11-01
21,住吉区,120,145,-25,722,701,-1,20,-5,2015-11-01
22,東住吉区,73,136,-63,624,605,-7,12,-51,2015-11-01
23,平野区,147,179,-32,782,737,-12,33,1,2015-11-01
24,西成区,44,215,-171,825,597,-14,214,43,2015-11-01
