,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,日付
0,総数,1851,2159,-308,12787,12170,-112,505,197,2015-12-01
1,北区,94,63,31,877,745,0,132,163,2015-12-01
2,都島区,60,66,-6,441,432,-3,6,0,2015-12-01
3,福島区,62,43,19,346,384,1,-37,-18,2015-12-01
4,此花区,47,58,-11,200,231,-2,-33,-44,2015-12-01
5,中央区,87,48,39,963,893,-39,31,70,2015-12-01
6,西区,94,56,38,731,617,2,116,154,2015-12-01
7,港区,56,69,-13,317,279,-6,32,19,2015-12-01
8,大正区,39,67,-28,153,179,-7,-33,-61,2015-12-01
9,天王寺区,62,36,26,430,428,5,7,33,2015-12-01
10,浪速区,55,41,14,835,667,-2,166,180,2015-12-01
11,西淀川区,57,91,-34,369,335,-2,32,-2,2015-12-01
12,淀川区,115,129,-14,889,895,-19,-25,-39,2015-12-01
13,東淀川区,110,122,-12,844,786,0,58,46,2015-12-01
14,東成区,61,67,-6,321,360,-8,-47,-53,2015-12-01
15,生野区,63,135,-72,490,554,-2,-66,-138,2015-12-01
16,旭区,63,87,-24,315,346,-1,-32,-56,2015-12-01
17,城東区,106,107,-1,679,604,0,75,74,2015-12-01
18,鶴見区,107,84,23,341,364,-2,-25,-2,2015-12-01
19,阿倍野区,64,74,-10,537,417,-2,118,108,2015-12-01
20,住之江区,85,107,-22,394,409,-12,-27,-49,2015-12-01
21,住吉区,102,117,-15,649,699,-1,-51,-66,2015-12-01
22,東住吉区,85,110,-25,535,476,2,61,36,2015-12-01
23,平野区,132,185,-53,609,620,-7,-18,-71,2015-12-01
24,西成区,45,197,-152,522,450,-7,65,-87,2015-12-01
