,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1971,2400,-429,16075,14078,-228,1769,1340,,,2017-11-01
1,北区,110,79,31,1026,884,-10,132,163,,,2017-11-01
2,都島区,71,84,-13,536,539,-3,-6,-19,,,2017-11-01
3,福島区,62,54,8,455,434,2,23,31,,,2017-11-01
4,此花区,51,65,-14,319,295,9,33,19,,,2017-11-01
5,中央区,87,53,34,1039,1024,-30,-15,19,,,2017-11-01
6,西区,105,47,58,990,726,-23,241,299,,,2017-11-01
7,港区,44,76,-32,343,322,-5,16,-16,,,2017-11-01
8,大正区,31,72,-41,255,214,2,43,2,,,2017-11-01
9,天王寺区,66,42,24,483,432,-18,33,57,,,2017-11-01
10,浪速区,62,53,9,1106,848,-9,249,258,,,2017-11-01
11,西淀川区,66,85,-19,464,417,-8,39,20,,,2017-11-01
12,淀川区,141,131,10,1128,1000,-22,106,116,,,2017-11-01
13,東淀川区,122,148,-26,988,903,-9,76,50,,,2017-11-01
14,東成区,58,71,-13,615,502,-10,103,90,,,2017-11-01
15,生野区,78,136,-58,827,615,-11,201,143,,,2017-11-01
16,旭区,61,101,-40,372,388,0,-16,-56,,,2017-11-01
17,城東区,150,142,8,792,756,1,37,45,,,2017-11-01
18,鶴見区,96,63,33,390,443,1,-52,-19,,,2017-11-01
19,阿倍野区,85,95,-10,612,503,-13,96,86,,,2017-11-01
20,住之江区,59,121,-62,412,439,-9,-36,-98,,,2017-11-01
21,住吉区,120,143,-23,690,630,1,61,38,,,2017-11-01
22,東住吉区,79,137,-58,632,506,-4,122,64,,,2017-11-01
23,平野区,119,207,-88,690,722,-16,-48,-136,,,2017-11-01
24,西成区,48,195,-147,911,536,-44,331,184,,,2017-11-01
